crash_numb,city_town_name,crash_date,crash_severity_descr,crash_time_2,year,max_injr_svrty_cl,numb_vehc,age_drvr_yngst,age_drvr_oldest,manr_coll_descr,numb_fatal_injr,numb_nonfatal_injr,trafy_descr_descr,vehc_mnvr_actn_cl,cnty_name,lclty_name,speed_limit,lat,lon,vehc_unit_numb,alc_suspd_type_descr,driver_age,drvr_cntrb_circ_descr,driver_distracted_type_descr,drug_suspd_type_descr,pers_numb,age,ejctn_descr,sex_descr
3990449,ARLINGTON,1/1/15,Fatal injury,1:28 AM,2015,Fatal injury (K),1,45-54,45-54,Single vehicle crash,1,2,"Two-way, divided, unprotected median",V1: Travelling straight ahead,MIDDLESEX,,,42.41199033,-71.15788544,1,Not reported,50,"DCC1:Operating vehicle in erratic, reckless, careless, negligent or aggressive manner, DCC2:Failure to keep in proper lane or running off road",Not reported,Not reported,1,50,Partially ejected,Male
3990449,ARLINGTON,1/1/15,Fatal injury,1:28 AM,2015,Fatal injury (K),1,45-54,45-54,Single vehicle crash,1,2,"Two-way, divided, unprotected median",V1: Travelling straight ahead,MIDDLESEX,,,42.41199033,-71.15788544,1,Not reported,50,"DCC1:Operating vehicle in erratic, reckless, careless, negligent or aggressive manner, DCC2:Failure to keep in proper lane or running off road",Not reported,Not reported,2,21,Not ejected,Female
3990449,ARLINGTON,1/1/15,Fatal injury,1:28 AM,2015,Fatal injury (K),1,45-54,45-54,Single vehicle crash,1,2,"Two-way, divided, unprotected median",V1: Travelling straight ahead,MIDDLESEX,,,42.41199033,-71.15788544,1,Not reported,50,"DCC1:Operating vehicle in erratic, reckless, careless, negligent or aggressive manner, DCC2:Failure to keep in proper lane or running off road",Not reported,Not reported,3,32,Not ejected,Female
3994238,PEPPERELL,1/11/15,Fatal injury,10:26 PM,2015,Fatal injury (K),1,21-24,21-24,Single vehicle crash,1,0,"Two-way, not divided",V1: Travelling straight ahead,MIDDLESEX,,,42.66919326,-71.57746088,1,Unknown,23,"DCC1:Unknown, DCC2:Not reported",Unknown,Not reported,1,23,Not ejected,Female
3995882,PEABODY,1/13/15,Fatal injury,12:18 AM,2015,Fatal injury (K),1,45-54,45-54,Single vehicle crash,1,0,"Two-way, divided, positive median barrier",V1: Travelling straight ahead,ESSEX,,50,42.53580133,-70.98936156,1,Not reported,51,"DCC1:No improper driving, DCC2:Not reported",Not reported,Not reported,1,51,Not ejected,Male
3995882,PEABODY,1/13/15,Fatal injury,12:18 AM,2015,Fatal injury (K),1,45-54,45-54,Single vehicle crash,1,0,"Two-way, divided, positive median barrier",V1: Travelling straight ahead,ESSEX,,50,42.53580133,-70.98936156,,,,,,,2,33,,Female
3996666,BROCKTON,1/17/15,Fatal injury,1:53 AM,2015,Fatal injury (K),1,21-24,21-24,Single vehicle crash,1,2,"Two-way, not divided",V1: Travelling straight ahead,PLYMOUTH,,30,42.1008896,-71.03501442,1,,23,,Unknown,"No, drug not used",1,23,Not ejected,Male
3996666,BROCKTON,1/17/15,Fatal injury,1:53 AM,2015,Fatal injury (K),1,21-24,21-24,Single vehicle crash,1,2,"Two-way, not divided",V1: Travelling straight ahead,PLYMOUTH,,30,42.1008896,-71.03501442,1,,23,,Unknown,"No, drug not used",2,26,Not ejected,Male
3996666,BROCKTON,1/17/15,Fatal injury,1:53 AM,2015,Fatal injury (K),1,21-24,21-24,Single vehicle crash,1,2,"Two-way, not divided",V1: Travelling straight ahead,PLYMOUTH,,30,42.1008896,-71.03501442,1,,23,,Unknown,"No, drug not used",3,23,Partially ejected,Male
3997244,MANSFIELD,1/18/15,Fatal injury,4:34 AM,2015,Fatal injury (K),1,21-24,21-24,Single vehicle crash,1,0,"Two-way, not divided",V1: Travelling straight ahead,BRISTOL,,,41.99701944,-71.27417595,1,Not reported,24,"DCC1:Over-correcting/over-steering, DCC2:Distracted",Talking on hand-held electronic device,Not reported,1,24,Not ejected,Female
3999396,MIDDLEBOROUGH,1/18/15,Fatal injury,1:34 AM,2015,Fatal injury (K),1,18-20,18-20,Single vehicle crash,1,2,"Two-way, not divided",V1: Leaving traffic lane,PLYMOUTH,,,41.82412988,-70.82718622,1,,18,,Not Distracted,,1,18,Not ejected,Male
